,使用電力量
1989年1月,51644033
1989年2月,47947215
1989年3月,48573850
1989年4月,48788188
1989年5月,46276002
1989年6月,46613542
1989年7月,51225641
1989年8月,55956119
1989年9月,57441707
1989年10月,50362760
1989年11月,48737690
1989年12月,50427107
1990年1月,54942825
1990年2月,52100709
1990年3月,50424779
1990年4月,50132296
1990年5月,50340032
1990年6月,50330967
1990年7月,56756870
1990年8月,63496026
1990年9月,62249233
1990年10月,53737227
1990年11月,51317422
1990年12月,52515810
1991年1月,58027569
1991年2月,55218641
1991年3月,54811116
1991年4月,53373762
1991年5月,52557861
1991年6月,53224382
1991年7月,58971993
1991年8月,63689467
1991年9月,61657477
1991年10月,55074008
1991年11月,54461314
1991年12月,53093799
1992年1月,60124949
1992年2月,57490912
1992年3月,55517101
1992年4月,54977277
1992年5月,52933077
1992年6月,52484321
1992年7月,57161608
1992年8月,64752834
1992年9月,62722993
1992年10月,55322059
1992年11月,54577977
1992年12月,54543020
1993年1月,61029094
1993年2月,57912557
1993年3月,57293633
1993年4月,57642485
1993年5月,53836193
1993年6月,54118729
1993年7月,57703885
1993年8月,60296876
1993年9月,60874490
1993年10月,55327358
1993年11月,53844976
1993年12月,56350584
1994年1月,61845199
1994年2月,60037350
1994年3月,58699745
1994年4月,58388440
1994年5月,53652622
1994年6月,56256378
1994年7月,65445176
1994年8月,73563599
1994年9月,70188434
1994年10月,59579368
1994年11月,56285859
1994年12月,58691715
1995年1月,64378422
1995年2月,62161788
1995年3月,61505191
1995年4月,60842461
1995年5月,56117630
1995年6月,56690833
1995年7月,62741709
1995年8月,72962417
1995年9月,70445972
1995年10月,58954455
1995年11月,58436487
1995年12月,61681846
1996年1月,67643571
1996年2月,65796939
1996年3月,64660970
1996年4月,61941388
1996年5月,59698809
1996年6月,59522560
1996年7月,65299634
1996年8月,74780223
1996年9月,67881013
1996年10月,60902900
1996年11月,61479896
1996年12月,62712358
1997年1月,69428826
1997年2月,67265550
1997年3月,63688665
1997年4月,62251901
1997年5月,61225978
1997年6月,61177570
1997年7月,69920714
1997年8月,74861924
1997年9月,71984824
1997年10月,63584224
1997年11月,61819656
1997年12月,62353308
1998年1月,70357820
1998年2月,68205507
1998年3月,63707469
1998年4月,64285698
1998年5月,61529281
1998年6月,61533785
1998年7月,70324434
1998年8月,75068681
1998年9月,73124794
1998年10月,65880323
1998年11月,61953944
1998年12月,63164065
1999年1月,69603824
1999年2月,67229277
1999年3月,65273260
1999年4月,65106459
1999年5月,60410066
1999年6月,62278457
1999年7月,68079935
1999年8月,76503243
1999年9月,77352105
1999年10月,68478774
1999年11月,62349543
1999年12月,65008190
2000年1月,71485043
2000年2月,69785582
2000年3月,70082917
2000年4月,66252391
2000年5月,62015534
2000年6月,64571155
2000年7月,72722538
2000年8月,80076179
2000年9月,79169371
2000年10月,66262272
2000年11月,65079938
2000年12月,66992441
2001年1月,74219553
2001年2月,72250421
2001年3月,68311631
2001年4月,65090968
2001年5月,62944010
2001年6月,64684425
2001年7月,73677087
2001年8月,81218159
2001年9月,72709080
2001年10月,64879432
2001年11月,63948024
2001年12月,66694405
2002年1月,73248834
2002年2月,69604930
2002年3月,65400192
2002年4月,63257627
2002年5月,63382114
2002年6月,64219769
2002年7月,70649557
2002年8月,83372506
2002年9月,75577349
2002年10月,66224337
2002年11月,67257920
2002年12月,68103708
2003年1月,77523732
2003年2月,72328082
2003年3月,69577700
2003年4月,67170142
2003年5月,64453991
2003年6月,64221888
2003年7月,68922008
2003年8月,74574787
2003年9月,76035586
2003年10月,67908082
2003年11月,64819931
2003年12月,66412250
2004年1月,76151000
2004年2月,73542722
2004年3月,70092282
2004年4月,69004605
2004年5月,64815034
2004年6月,66692613
2004年7月,77542504
2004年8月,82155104
2004年9月,77925083
2004年10月,69488879
2004年11月,65568324
2004年12月,67361207
2005年1月,76395334
2005年2月,75250654
2005年3月,73228332
2005年4月,71095464
2005年5月,65122042
2005年6月,66502199
2005年7月,74766702
2005年8月,80646039
2005年9月,80287646
2005年10月,71068517
2005年11月,66955079
2005年12月,72662774
2006年1月,83207377
2006年2月,76621291
2006年3月,73623488
2006年4月,72448978
2006年5月,68040106
2006年6月,67986281
2006年7月,75230446
2006年8月,82075906
2006年9月,81040467
2006年10月,69947751
2006年11月,70000290
2006年12月,73084338
2007年1月,80207637
2007年2月,75683201
2007年3月,73677375
2007年4月,72243669
2007年5月,70027700
2007年6月,69981212
2007年7月,74508837
2007年8月,83907932
2007年9月,84446444
2007年10月,74244406
2007年11月,71100930
2007年12月,75215678
2008年1月,82930652
2008年2月,82770886
2008年3月,78165543
2008年4月,72045496
2008年5月,70625193
2008年6月,69875262
2008年7月,77204269
2008年8月,87188123
2008年9月,79185068
2008年10月,72681997
2008年11月,69694602
2008年12月,70771267
2009年1月,77835737
2009年2月,72733023
2009年3月,69094608
2009年4月,68388931
2009年5月,64538690
2009年6月,64361596
2009年7月,72294998
2009年8月,77794115
2009年9月,73767142
2009年10月,68140892
2009年11月,67292886
2009年12月,70482092
2010年1月,81431186
2010年2月,76725951
2010年3月,73297443
2010年4月,74205018
2010年5月,68866811
2010年6月,67600159
2010年7月,76928653
2010年8月,84928032
2010年9月,85722947
2010年10月,71432902
2010年11月,68515086
2010年12月,71868508
2011年1月,83849805
2011年2月,80256010
2011年3月,72243881
2011年4月,69352198
2011年5月,64365476
2011年6月,64174737
2011年7月,73103665
2011年8月,75311611
2011年9月,75925807
2011年10月,66907585
2011年11月,64822918
2011年12月,69349371
2012年1月,80768654
2012年2月,79107951
2012年3月,76618698
2012年4月,70316667
2012年5月,65498056
2012年6月,64042735
2012年7月,68488162
2012年8月,77592810
2012年9月,76392995
2012年10月,65957363
2012年11月,64373027
2012年12月,71526475
2013年1月,79810011
2013年2月,76120205
2013年3月,71471264
2013年4月,66133217
2013年5月,65084676
2013年6月,63866380
2013年7月,70205121
2013年8月,78532599
2013年9月,74333939
2013年10月,66360403
2013年11月,65371785
2013年12月,68767684
2014年1月,80416531
2014年2月,76451101
2014年3月,73017753
2014年4月,66467057
2014年5月,63280170
2014年6月,62804330
2014年7月,68011781
2014年8月,74770075
2014年9月,68281147
2014年10月,63780740
2014年11月,63088994
2014年12月,67878960
2015年1月,80182281
2015年2月,74191268
2015年3月,70261883
2015年4月,66550080
2015年5月,61452367
2015年6月,61013366
2015年7月,65926315
2015年8月,74633452
2015年9月,66270370
2015年10月,61240779
2015年11月,60716671
2015年12月,63604246
2016年1月,73205156
2016年2月,72899139
2016年3月,69545218
